ARRR-69,Documentation: Conclusion,conclusion,Documentation,4h
ARRR-68,Documentation: Architecture,architecute,Documentation,30m
ARRR-67,Documentation: Scenarios,scenario,Documentation,5h
ARRR-67,Documentation: Scenarios,sceanrio,Documentation,2h
ARRR-67,Documentation: Scenarios,scenario,Documentation,2h
ARRR-66,Overhead Sprint 7,meeting and preparation,Administration,1h
ARRR-65,Documentation: Abstract,abstract,Documentation,7h
ARRR-64,Documentation: Clean up,document template,Documentation,6h
ARRR-64,Documentation: Clean up,strucurice documentation,Documentation,2h
ARRR-64,Documentation: Clean up,doku: divers stuff,Documentation,14h
ARRR-64,Documentation: Clean up,clean up doku,Documentation,8h
ARRR-63,Submission,abstract abgabe,Administration,1h
ARRR-63,Submission,Dokumente ausdrucken,Administration,1h
ARRR-63,Submission,abstract abgeben,Administration,2h
ARRR-62,Overhead Sprint 6,planning,Administration,2h
ARRR-62,Overhead Sprint 6,planning,Administration,2h
ARRR-62,Overhead Sprint 6,Meeting,Administration,1h
ARRR-62,Overhead Sprint 6,preparation sprint and meeting,Administration,1h
ARRR-62,Overhead Sprint 6,meeting,Administration,30m
ARRR-60,Documentation: Reflection,reflection,Documentation,2h
ARRR-59,Documentation: Introduction,intro,Documentation,3h
ARRR-59,Documentation: Introduction,introduction,Documentation,7h
ARRR-57,Dokumentation: Architektur,brainstorm architektur,Project,3h
ARRR-57,Dokumentation: Architektur,research hololens,Project,4h
ARRR-57,Dokumentation: Architektur,research and doku,Project,3h
ARRR-57,Dokumentation: Architektur,architektur,Project,3h
ARRR-57,Dokumentation: Architektur,architektur,Project,7h
ARRR-57,Dokumentation: Architektur,brainstrorm,Project,5h
ARRR-55,Architecture,hololens case,_,2h
ARRR-53,Overhead Sprint 5,project reorg. backlog management,Administration,1h
ARRR-53,Overhead Sprint 5,weekly meeting,Administration,45m
ARRR-53,Overhead Sprint 5,meeting prep,Administration,1h
ARRR-53,Overhead Sprint 5,meeting minutes,Administration,1h
ARRR-52,Documentation: User Study,interviews,Documentation,2h
ARRR-52,Documentation: User Study,interviews,Documentation,5h
ARRR-52,Documentation: User Study,user study,Documentation,1h 30m
ARRR-51,Documentation: Personas,dok personas,Documentation,1h
ARRR-51,Documentation: Personas,doku personas,Documentation,4h
ARRR-50,Documentation: Reserach,ar description and  bibliography,Documentation,4h
ARRR-50,Documentation: Reserach,research doku,Documentation,3h
ARRR-50,Documentation: Reserach,research doku,Documentation,3h
ARRR-50,Documentation: Reserach,write research,Documentation,3h
ARRR-50,Documentation: Reserach,write research,Documentation,1h 30m
ARRR-50,Documentation: Reserach,write research,Documentation,4h
ARRR-50,Documentation: Reserach,dok researhc,Documentation,1h
ARRR-50,Documentation: Reserach,research doku,Documentation,8h
ARRR-50,Documentation: Reserach,input frieder,Documentation,2h
ARRR-50,Documentation: Reserach,research,Documentation,1h
ARRR-47,Overhead Sprint 4,post meeting work,Administration,30m
ARRR-47,Overhead Sprint 4,start new sprint,Administration,15m
ARRR-47,Overhead Sprint 4,prepare meeting,Administration,15m
ARRR-47,Overhead Sprint 4,weekly,Administration,30m
ARRR-46,Literature Summary,prepare print,Project,1h
ARRR-46,Literature Summary,studien lesen,Project,3h
ARRR-46,Literature Summary,papers lesen,Project,4h
ARRR-46,Literature Summary,paper lesen,Project,4h
ARRR-44,Overhead Sprint 3,doku sprint,Administration,45m
ARRR-44,Overhead Sprint 3,prepare meeting,Administration,30m
ARRR-44,Overhead Sprint 3,weekly,Administration,45m
ARRR-44,Overhead Sprint 3,post meeting stuff,Administration,30m
